	Np	| 3 components max ELV |  3 components max IPR
        |                      |
     7  |       5     4     6  |       5     6     4
    12  |       5     4     6  |       5     4     6
    17  |       5     4     6  |       5     6     4
    20  |       5     4     6  |       5     6     4
    50  |       5     4     6  |       5    13     8
    80  |       5     4     6  |      12     5     8
   110  |       5     4     6  |      12     5     8
   140  |       5     4     6  |       5    12     8
   170  |       2     3     6  |      12     8    10
   200  |       3     2     6  |      12     8    14
   230  |       3     2     5  |       3    12     8
   260  |       3     2     4  |       3    12     8
   290  |       3     2     4  |       3    12     8
   320  |       3     2     4  |       3    18     8
   350  |       3     2     4  |       3    18     8
   380  |       3     2     4  |       3     8    14
   410  |       3     2     4  |       3    11    14
   440  |       3     2     4  |       3    11    14
   470  |       3     2     4  |       3    11    14
   500  |       3     2     4  |       3    11    14
